epoch,timestamp_utc,global_step,train_loss,train_charbonnier_loss,train_grad_loss,train_frc_loss,train_smooth_loss,train_log_noise_mean_loss,train_log_noise_tv_loss,train_gamma_nll_loss,train_enl_loss,lr,val_l1_loss,val_psnr,val_ssim,val_frc_score
1,2026-04-22T21:03:05.201833+00:00,2254,0.576277341102914,0.10721734168293419,0.010275882944637358,0.2137003442576995,0.002028649096340222,0.01013221612928634,0.01251383453428276,0.09370486657379948,0.12670420535217766,0.00019976740029904394,0.10143808462774105,23.431267264189014,0.9375845927458543,0.5774643928874948
2,2026-04-22T21:41:03.648737+00:00,4508,0.5184544961569869,0.08633589330977202,0.00937232558497154,0.1769322213153137,0.001910156513135496,0.00995085846193186,0.012275774568281316,0.09432230337737113,0.12735496200315438,0.00019895141949869194,0.08578127895186587,24.642170620680304,0.9510460816896878,0.6547178335306121
3,2026-04-22T22:18:59.867037+00:00,6763,0.5059426048426439,0.08198711168484456,0.009172405814390525,0.16947509334512495,0.0018633585995884005,0.009730514199610319,0.012127432409144342,0.09447629213577682,0.12711039472377123,0.00019755274236617378,0.08278424556298954,24.89079462430714,0.9534393623890617,0.6694883112612182
4,2026-04-22T22:56:56.690424+00:00,9016,0.49957204859122967,0.07959366585653672,0.00905891893095698,0.1655818528850371,0.0018389385506918873,0.00965883790059513,0.012063149534443459,0.09464462955244154,0.12713205355660934,0.00019558227246625057,0.08143680613299248,24.995590571390977,0.9544466161370053,0.6760106147118402
5,2026-04-22T23:34:53.388143+00:00,11271,0.4953911506460786,0.07825996493931012,0.008983514410992814,0.1631758956911559,0.0018209583895088042,0.0096307938790825,0.012033967482598188,0.09469734265306462,0.12678871187634466,0.0001930487294067841,0.08071793972271692,25.054047787614433,0.9550661638127482,0.6798387100504218
6,2026-04-23T00:12:50.733959+00:00,13525,0.4924421221989437,0.07706874033800115,0.00893078573297211,0.16135345899059386,0.001809509694130121,0.00964117294532055,0.012001616292050446,0.09484565583710185,0.12679118118613436,0.00018997080038953514,0.08008860656205306,25.097260085995156,0.9554658909005027,0.682435365823599
7,2026-04-23T01:14:05.306749+00:00,15780,0.4897320710467933,0.0760545805526245,0.008874248667504662,0.15979004693443746,0.0017980347505173082,0.009626181328517997,0.011973489211807364,0.0949051836396062,0.12671030367470337,0.00018636483777657607,0.07936905409728384,25.148639661062504,0.9559468197554182,0.684470998860658
8,2026-04-23T02:12:53.525465+00:00,18033,0.4882307914229237,0.07565742687636771,0.008857994072674635,0.15862509961217067,0.0017955996638889318,0.00962304303489285,0.011961697703022918,0.09492113226584728,0.12678879641209614,0.00018225830478562916,0.07913418272143233,25.166641896482258,0.9561237046463629,0.6858175257133499
9,2026-04-23T02:50:51.062106+00:00,20286,0.48680028413874954,0.07542050546243784,0.008824020564158725,0.15773781496898434,0.0017887459790629882,0.009629160957896319,0.011945542998580532,0.09494613287493299,0.12650835882549302,0.00017767364744007978,0.07903026823674313,25.181367656750705,0.9562686936716649,0.6867458633589253
10,2026-04-23T03:28:49.008540+00:00,22541,0.48532467431465837,0.07463500330158125,0.00881008861522835,0.15678009339607218,0.0017849828787771772,0.009627232966805363,0.011929044930851361,0.09500657131552141,0.12675165610557704,0.00017263457872639243,0.07845226810864167,25.213677091401692,0.9565625810265317,0.6874665687276543
11,2026-04-23T04:22:01.127957+00:00,24795,0.48397959449201866,0.07421333522900003,0.008778216320807336,0.15594462068851836,0.0017793129161745888,0.009641210846730976,0.011916773706876166,0.09504080030560678,0.12666532312668355,0.00016717870901748289,0.07824554840211126,25.23123016053248,0.9566980999585164,0.6879923768607135
